기간	자치구	총 수급자	총 수급자	총 수급자	총 수급자	총 수급자	일반수급자	일반수급자	일반수급자	일반수급자	조건부수급자	조건부수급자	조건부수급자	조건부수급자	특례수급자	특례수급자	특례수급자	특례수급자	시설수급자	시설수급자	시설수급자	시설수급자
기간	자치구	가구	시설	인원	인원	인원	가구	인원	인원	인원	가구	인원	인원	인원	가구	인원	인원	인원	시설	인원	인원	인원
기간	자치구	가구	시설	계	남성	여성	가구	계	남성	여성	가구	계	남성	여성	가구	계	남성	여성	시설	계	남성	여성
2019	마포구	6,178	13	8,891	3,923	4,968	5,036	6,702	2,907	3,795	1,050	1,803	835	968	92	124	44	80	13	262	137	125
2019	양천구	9,506	24	13,811	6,132	7,679	8,249	11,342	5,019	6,323	1,104	1,973	895	1,078	153	193	71	122	24	303	147	156
2019	강서구	17,095	33	24,152	10,979	13,173	14,539	19,192	8,740	10,452	1,689	3,319	1,522	1,797	867	1,210	541	669	33	431	176	255
2019	구로구	7,188	23	10,334	4,633	5,701	5,958	7,746	3,549	4,197	751	1,476	671	805	479	654	298	356	23	458	115	343
2019	금천구	7,383	28	10,524	4,752	5,772	5,973	7,837	3,517	4,320	1,360	2,252	1,096	1,156	50	65	28	37	28	370	111	259
2019	영등포구	7,227	23	9,350	5,072	4,278	5,813	6,929	3,612	3,317	1,202	1,657	1,085	572	212	282	136	146	23	482	239	243
2019	동작구	7,413	13	10,623	4,681	5,942	6,290	8,322	3,587	4,735	1,049	1,802	899	903	74	111	51	60	13	388	144	244
2019	관악구	11,978	33	16,249	7,429	8,820	9,956	12,651	5,699	6,952	1,525	2,515	1,289	1,226	497	669	285	384	33	414	156	258
2019	서초구	4,030	6	6,009	2,698	3,311	3,587	4,942	2,161	2,781	394	840	379	461	49	64	32	32	6	163	126	37
2019	강남구	8,372	11	12,886	5,517	7,369	6,696	8,950	3,897	5,053	1,393	2,891	1,317	1,574	283	449	191	258	11	596	112	484
2019	송파구	8,890	19	13,509	6,101	7,408	7,285	10,245	4,630	5,615	1,347	2,552	1,180	1,372	258	326	132	194	19	386	159	227
2019	강동구	8,154	26	11,753	5,530	6,223	6,793	8,986	4,202	4,784	1,015	1,820	877	943	346	471	195	276	26	476	256	220
2020	합계	260,795	598	370,226	171,615	198,611	220,330	292,744	134,518	158,226	34,211	58,481	28,846	29,635	6,254	8,019	3,640	4,379	598	10,982	4,611	6,371
2020	본청	-	5	708	156	552	-	-	-	-	-	-	-	-	-	-	-	-	5	708	156	552
2020	종로구	3,851	13	5,232	2,941	2,291	3,280	3,883	2,269	1,614	372	522	324	198	199	218	129	89	13	609	219	390
2020	중구	4,236	4	5,299	2,872	2,427	3,794	4,592	2,463	2,129	359	494	309	185	83	99	45	54	4	114	55	59
2020	용산구	6,219	11	8,265	4,319	3,946	5,190	6,589	3,369	3,220	781	1,131	687	444	248	297	162	135	11	248	101	147
2020	성동구	7,047	11	9,718	4,741	4,977	5,739	7,472	3,569	3,903	1,131	1,909	1,003	906	177	213	112	101	11	124	57	67
2020	광진구	8,475	18	11,864	5,552	6,312	7,438	10,079	4,652	5,427	909	1,538	787	751	128	178	105	73	18	69	8	61
2020	동대문구	11,452	26	15,043	7,655	7,388	9,866	12,493	6,369	6,124	1,055	1,667	898	769	531	696	307	389	26	187	81	106
2020	중랑구	17,378	44	24,833	11,521	13,312	15,534	21,206	9,824	11,382	1,650	2,842	1,458	1,384	194	245	114	131	44	540	125	415
2020	성북구	10,928	28	15,634	7,071	8,563	9,027	11,870	5,330	6,540	1,625	3,043	1,459	1,584	276	325	167	158	28	396	115	281
2020	강북구	14,116	32	19,846	9,153	10,693	11,936	15,901	7,245	8,656	1,699	3,024	1,531	1,493	481	656	279	377	32	265	98	167
2020	도봉구	9,645	49	13,876	6,355	7,521	8,189	11,104	5,133	5,971	1,360	2,379	1,071	1,308	96	117	61	56	49	276	90	186
2020	노원구	21,151	37	31,054	13,329	17,725	17,707	24,330	10,406	13,924	3,247	5,790	2,589	3,201	197	248	103	145	37	686	231	455
2020	은평구	15,455	38	24,139	11,104	13,035	13,034	18,290	7,946	10,344	2,093	3,755	1,733	2,022	328	420	171	249	38	1,674	1,254	420
2020	서대문구	7,517	24	10,614	4,756	5,858	6,530	8,506	3,815	4,691	879	1,471	709	762	108	134	60	74	24	503	172	331
2020	마포구	7,195	12	10,160	4,505	5,655	5,889	7,750	3,353	4,397	1,162	1,975	935	1,040	144	192	82	110	12	243	135	108
2020	양천구	11,131	22	16,060	7,086	8,974	9,663	13,381	5,862	7,519	1,339	2,252	1,044	1,208	129	161	56	105	22	266	124	142
2020	강서구	19,877	37	27,797	12,654	15,143	16,990	22,448	10,224	12,224	2,118	3,897	1,802	2,095	769	1,013	439	574	37	439	189	250
2020	구로구	8,534	24	12,329	5,600	6,729	7,145	9,499	4,404	5,095	922	1,735	811	924	467	616	266	350	24	479	119	360
2020	금천구	8,372	26	11,637	5,392	6,245	6,697	8,738	3,991	4,747	1,618	2,498	1,262	1,236	57	72	31	41	26	329	108	221
2020	영등포구	8,557	26	10,963	5,958	5,005	6,893	8,242	4,298	3,944	1,454	1,948	1,264	684	210	268	137	131	26	505	259	246
2020	동작구	8,840	16	12,408	5,535	6,873	7,526	9,917	4,331	5,586	1,252	2,046	1,028	1,018	62	86	41	45	16	359	135	224
2020	관악구	15,417	33	20,517	9,654	10,863	12,725	16,059	7,434	8,625	2,179	3,433	1,781	1,652	513	636	297	339	33	389	142	247
2020	서초구	4,610	6	6,791	3,049	3,742	4,046	5,552	2,436	3,116	506	1,025	459	566	58	71	40	31	6	143	114	29
2020	강남구	9,820	11	14,660	6,387	8,273	8,020	10,772	4,721	6,051	1,559	2,933	1,395	1,538	241	356	148	208	11	599	123	476
2020	송파구	10,670	21	16,081	7,334	8,747	8,867	12,598	5,733	6,865	1,565	2,814	1,330	1,484	238	290	114	176	21	379	157	222
2020	강동구	10,302	24	14,698	6,936	7,762	8,605	11,473	5,341	6,132	1,377	2,360	1,177	1,183	320	412	174	238	24	453	244	209
